2019 Months,SVI %,LST
January,0-5% SVI,290.2364673
January,5-10% SVI,290.9871992
January,10-15% SVI,291.1155542
January,15-20% SVI,291.1503626
January,>20% SVI,291.2472359
February,0-5% SVI,290.2238775
February,5-10% SVI,292.4650907
February,10-15% SVI,292.4404555
February,15-20% SVI,290.6782824
February,>20% SVI,289.4434286
March,0-5% SVI,298.9330339
March,5-10% SVI,299.7422155
March,10-15% SVI,300.0653951
March,15-20% SVI,300.0008127
March,>20% SVI,300.2081192
April,0-5% SVI,305.735943
April,5-10% SVI,306.1844834
April,10-15% SVI,306.4046434
April,15-20% SVI,306.4150209
April,>20% SVI,306.6098067
May,0-5% SVI,307.1210975
May,5-10% SVI,307.7476795
May,10-15% SVI,307.9497895
May,15-20% SVI,307.9502223
May,>20% SVI,308.1377129
June,0-5% SVI,308.9766837
June,5-10% SVI,309.364999
June,10-15% SVI,309.6793575
June,15-20% SVI,309.4801503
June,>20% SVI,309.8119729
July,0-5% SVI,310.0897997
July,5-10% SVI,310.7852151
July,10-15% SVI,311.181429
July,15-20% SVI,311.1664139
July,>20% SVI,311.3627327
August,0-5% SVI,310.2262856
August,5-10% SVI,310.7744368
August,10-15% SVI,310.9636263
August,15-20% SVI,310.8622923
August,>20% SVI,311.1747086
September,0-5% SVI,308.1774053
September,5-10% SVI,308.6703856
September,10-15% SVI,308.8626981
September,15-20% SVI,308.7588702
September,>20% SVI,309.0434213
October,0-5% SVI,302.4385149
October,5-10% SVI,303.0726042
October,10-15% SVI,303.2932865
October,15-20% SVI,303.2465776
October,>20% SVI,303.4304328
November,0-5% SVI,293.5197898
November,5-10% SVI,293.8932321
November,10-15% SVI,293.9831223
November,15-20% SVI,293.944543
November,>20% SVI,294.0019278
December,0-5% SVI,292.3709094
December,5-10% SVI,292.7901897
December,10-15% SVI,293.0234787
December,15-20% SVI,292.9420767
December,>20% SVI,292.9847113
